Household ID,Sampling data,Volume [l],Waste total mass [kg],Organics [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
3.4,11.11.2023,9,2.363,0.546,0.061,0.394,0.04,-0.003,0.04,0,0.028,1.153,
3.5,12.11.2023,17,2.5,1.138,0.211,0.13,0.021,0,-0.001,0.002,0.075,0.9,
3.6,13.11.2023,17,2.433,0.496,0.045,0.054,0,0,0.006,0,2.985,0,A lot of charcoal in the category others
3.7,14.11.2023,17,4.978,0.525,0.005,0.1,-0.001,-0.003,0.007,0,4.193,0.126,Total mass weight with big scale / A lot charcoal in the category others
3.8,15.11.2023,17,4.549,0.804,0.083,0.217,0,0,0,0,2.796,0.566,
4.1,08.11.2023,9,1.129,0.735,0.006,0.078,0.017,0,0,0,0.209,0,
4.2,09.11.2023,10,1.772,0.234,0,0.423,0.013,0,0.03,0.054,0.023,0.909,
4.3,10.11.2023,10,1.313,0.364,0.052,0.233,0.021,0.003,0.337,0,0.02,0.245,
4.4,11.11.2023,10,5.978,0.877,0.002,0.159,0.001,0,0.021,0.022,0.005,4.174,
4.5,12.11.2023,16,4.791,0.981,0.002,0.032,0.09,0.002,0,0,0.01,3.093,
4.6,13.11.2023,17,3.103,0.392,0,0.052,0.002,0,0.06,0,0.014,2.354,
4.7,14.11.2023,10,3.404,0.599,0.001,0.075,0.101,0,0,0.011,0.023,2.742,
4.8,15.11.2023,27,5.34,1.639,0.001,0.28,0.141,0,0.119,0,0.022,3.048,
5.1,08.11.2023,1,0.057,0,-0.001,0.034,0,0,0,0,0,0,
5.2,09.11.2023,1,0.07,0,0,0.043,0,0,0,0,0.002,0,
5.3,10.11.2023,3,0.66,0.008,-0.001,0.063,0,0,0,0,0.535,0.024,In categorie Others there is a lot of ash
5.4,11.11.2023,4,1.795,0.562,0.006,0.024,0.037,0,0,0,0.017,1.227,
5.5,12.11.2023,2,0.848,0.149,0,0.005,0,0.001,0,0,0,0.63,Waste is wet
5.6,13.11.2023,3,0.916,0.151,0.071,0.012,0,0,0,0,0.643,0,In categorie Others there is a lot of ash
5.7,14.11.2023,6,1.533,0.437,0.001,0.059,0,0,0,0,0.013,1.082,
5.8,15.11.2023,3,0.61,0.185,0,0.059,-0.004,0,0,0,-0.002,0.332,
6.1,08.11.2023,1,0.091,0.075,-0.009,0.008,0,0,0,0,-0.006,0,people collected not all waste
6.2,09.11.2023,1,0.094,0.075,0,0.015,0,0,0,0,0.003,0,Bag was small--> people did not collect all waste
6.3,10.11.2023,10,1.899,1.176,0.029,0.226,0.017,0,0.068,0,0.146,0.169,
6.4,11.11.2023,8,2.9,1.127,0.011,0.148,0.034,0,0.01,0,0.09,2.174,
6.5,12.11.2023,16,1.48,0.195,0.014,0.264,0.007,0,0.421,0.009,0.002,0.551,
6.6,13.11.2023,6,2.776,0.878,-0.002,0.008,0,0,0.008,0,1.028,0.876,
6.7,14.11.2023,6,2.36,0.258,0.002,0.083,0.091,0,0,0.322,0.002,1.649,
6.8,15.11.2023,10,1.365,0.707,0.036,0.174,0.085,0,0.326,0,-0.003,0,In categorie organic there is a lot of grass
7.1,08.11.2023,5,NaN,0.974,0.052,0.04,0,0,-0.003,0,0.586,0,The total mass of the bag 7.1 was not measured
7.2,09.11.2023,8,3.553,0.699,0.025,0.1,0.001,0,0,0,0.011,2.67,
7.3,10.11.2023,5,3.204,0.302,0.004,0.161,0.007,0,0.003,0,0.027,2.688,
7.4,11.11.2023,10,5.672,0.713,0.003,0.087,0.118,0,0.003,0,0.027,4.606,
7.5,12.11.2023,7,2.383,0.868,0.001,0.071,0,0,0,0,1.058,0.324,
7.6,13.11.2023,8,2.327,0.414,-0.006,0.099,-0.004,0,0,0,0.341,1.405,
7.7,14.11.2023,7,2.085,1.117,-0.001,0.06,0,0,-0.001,0,-0.002,0.872,
7.8,15.11.2023,4,1.69,0.227,0.042,0.172,0,0,0,0,-0.001,1.258,
8.1,08.11.2023,2,1.271,1.193,0,0.001,0,0,0,0,-0.008,0,
8.2,09.11.2023,7,0.967,0.694,0,0.229,0,0,0,0,0.006,0,
8.3,10.11.2023,4,1.369,0.161,0,0.012,0.013,0,0,0,1.097,0.077,
8.4,11.11.2023,5,0.835,0.142,0.09,0.049,0.104,0,0,0.081,0.373,0,
8.5,12.11.2023,8,1.457,0.609,0.168,0.095,0.001,0.002,0,0,0,0.53,
8.6,13.11.2023,4,1.374,0.619,0,0.016,0.135,0,0.006,0.009,0.122,0.413,
8.7,14.11.2023,10,2.238,0.45,0.005,0.042,-0.002,-0.001,0.042,-0.001,0.057,1.585,
